Code;Intitulé;Intitulé court;Dépendance;Actif
104;Enregistrement international / fiscalité internationale;Droit de l’enregistrement (fiscalité notariale);E;Oui
105;TVA immobilière;Fiscalité immobilière;E;Oui
106;Plus value immobilière /Plus value mobilière;Fiscalité immobilière;E;Oui
107;Conséquences fiscales de la transmission;Fiscalité des entreprises;E;Oui
108;Fiscalité des bénéfices d’une entreprise (BIC / IS / BNC);Fiscalité des entreprises;E;Oui
109;Plus values professionnelles;Fiscalité des entreprises;E;Oui
110;TVA générale;Fiscalité des entreprises;E;Oui
111;ISF;;E;Oui
112;Défiscalisation immobilière;IRPP;E;Oui
113;Revenus fonciers;IRPP;E;Oui
114;Revenus mobiliers;IRPP;E;Oui
115;Impôts locaux;;E;Oui
116;Location en meublé;;E;Oui
117;Fiscalité directe agricole ;;E;Oui
118;Enregistrement;Fiscalité internationale;E;Oui
119;Plus value immobilières;Fiscalité internationale;E;Oui
120;Impôts directs;Fiscalité internationale;E;Oui
121;Blanchiment d’argent;investissements internationaux;F;Oui
122;Acquisition / perte de nationalité;Condition des étrangers / nationalité;F;Oui
123;Biens et droits réels;Obligations internationales;F;Oui
124;Certifications/légalisations de signature;Pratique notariale internationale;F;Oui
125;Commerçants étrangers;Condition des étrangers / nationalité;F;Oui
126;Connaissance des réseaux de juristes étrangers / animation;;F;Oui
127;Contrats de vente, de prêt, de garantie;Obligations internationales;F;Oui
128;Filiation Internationale : reconnaissance, établissement, conséquence et contestation,PMA/GPA, adoption;Filiation / adoption internationales;F;Oui
129;Incapacités en droit patrimonial de la famille (mineurs, majeurs, tutelles…);incapacités internationales;F;Oui
130;Les personnes physiques et morales : existence et attribut, état civil, … ;Statut personnel avec un élément d'extranéité;F;Oui
131;Mandats ;Obligations internationales;F;Oui
132;Procurations;Pratique notariale internationale;F;Oui
133;Publicité foncière / Obligations internationales;Obligations internationales;F;Oui
134;Publicité foncière / Pratique notariale internationale;Pratique notariale internationale;F;Oui
135;Qualification des actes étrangers …;Pratique notariale internationale;F;Oui
136;Reconnaissance et exécution des actes authentiques et des décisions judiciaires (jugements de divorce, en matière de filiation, …);Circulation des actes et jugements étrangers et à l'étranger;F;Oui
137;Sociétés étrangères et sociétés française à l'étranger;Sociétés avec un élement d'extranéité;F;Oui
138;Titre de séjour;Condition des étrangers / nationalité;F;Oui
139;Titre exécutoire européen (TEE);Obligations internationales;F;Oui
140;Tous les aspects civils;Droit comparé;F;Oui
141;Tous les aspects civils des régimes matrimoniaux internationaux (détermination, changement, dissolution);Régimes matrimoniaux  internationaux;F;Oui
142;Tous les aspects civils d'une succession internationale (planification, loi applicable, compétence notariale, contentieux, …);Successions internationales;F;Oui
143;Transfert de capitaux;Relations financières internationales;F;Oui
144;Trust;Obligations internationales;F;Oui
145;Fonctionnement / attribution;SAFER;G;Oui
146;Droit de préemption SAFER;SAFER;G;Oui
147;Bail à ferme, bail à métayage, baux à long terme, bail cessible hors cadre familial;BAUX RURAUX;G;Oui
148;Autres Conventions : baux emphytéotiques / conventions de mise à disposition / baux de petites parcelles / prêts à usage gratuit (immeubles ruraux)…;BAUX RURAUX;G;Oui
