id;titre;date;pdf_file;parent_id;parent_titre;parent_date;matiere_id;matiere_titre
725;Cahier n° 61;15/07/2011;sommaibe.pdf;NULL;NULL;NULL;NULL;NULL
738;Ouvrage collectif des 5 Cridon sur la réforme de la TVA immobilière (mise à jour);31/10/2011;;NULL;NULL;NULL;NULL;NULL
740;Cahier n° 62;01/12/2011;sommaibe(1).pdf;NULL;NULL;NULL;NULL;NULL
747;Cahier n° 63;30/03/2012;sommaibe(3).pdf;NULL;NULL;NULL;NULL;NULL
764;Cahier n° 64;06/06/2012;sommaibe(4).pdf;NULL;NULL;NULL;NULL;NULL
775;Cahier n° 65;19/11/2012;sommaibe(2).pdf;NULL;NULL;NULL;NULL;NULL
787;Cahier n°66;15/03/2013;sommaibe(5).pdf;NULL;NULL;NULL;NULL;NULL
797;Cahier n°67;03/07/2013;sommaibe(6).pdf;NULL;NULL;NULL;NULL;NULL
805;Cahier n°68;21/11/2013;sommaibe(7).pdf;NULL;NULL;NULL;NULL;NULL
815;Cahier n°68 bis;05/12/2013;cahiebducyidonspcial68bismabiagepoubtousetpbatiquenotabiale(2).pdf;NULL;NULL;NULL;NULL;NULL
821;Cahier n°69;03/04/2014;sommaibe(8).pdf;NULL;NULL;NULL;NULL;NULL
832;Cahier n°70;01/07/2014;sommaibe(9).pdf;NULL;NULL;NULL;NULL;NULL
843;Cahier n°71;02/01/2015;sommaibecahiebducbidonn71.pdf;NULL;NULL;NULL;NULL;NULL
841;Ouvrage collectif des 5 Cridon : Règlement 650/2012, Sucessions internationales;19/12/2014;bb_5cbidondip.pdf;NULL;NULL;NULL;NULL;NULL
852;Cahier spécial décembre 2014 : La loi n° 2014-1170 du 13 octobre 2014 dite « loi d’avenir pour l’agriculture, l’alimentation et la forêt » et son impact sur la pratique notariale;09/01/2015;cyiv00839900intnumspe.pdf;NULL;NULL;NULL;NULL;NULL
854;Cahier spécial janvier 2015 : Les incidences de la loi Hamon sur la pratique notariale;11/02/2015;cyiv00878800intnumspe.pdf;NULL;NULL;NULL;NULL;NULL
856;Cahier n°72;05/05/2015;sommaibe(10).pdf;NULL;NULL;NULL;NULL;NULL
866;Cahier n°73;06/07/2015;sommaibe(11).pdf;NULL;NULL;NULL;NULL;NULL
875;Cahier n°74;16/11/2015;sommaibe(12).pdf;NULL;NULL;NULL;NULL;NULL
13;LÀ OÙ LE CONSEIL D’ÉTAT ÉCARTE LA THÉORIE DE LA DOMANIALITÉ PUBLIQUE GLOBALE …;29/06/2010;1.laouconseiletat.pdf;12;Cahier n°58;29/06/2010;5;Droit administratif
14;TABLEAU RELATIF À LA TVA ET AU LOGEMENT SOCIAL MIS À JOUR SUITE À LA RÉFORME ISSUE DE L’ARTICLE 16 DE LA LOI DE FINANCES RECTIFICATIVE POUR 2010;29/06/2010;2.tableauuelatiftva.pdf;12;Cahier n°58;29/06/2010;1;Brèves
15;ENFANTS MINEURS OU MAJEURS VULNÉRABLES : COMMENT ANTICIPER LEUR PROTECTION FUTURE ?;29/06/2010;3.enfantsmineuuspdf.pdf;12;Cahier n°58;29/06/2010;6;Droit civil
16;BAUX D’HABITATION : LE CAUTIONNEMENT LAISSE PLACE À LA GRL;29/06/2010;4.bauxhabitation.pdf;12;Cahier n°58;29/06/2010;6;Droit civil
17;PRÊT CONSENTI PAR L’ENTREMISE D’UN TIERS;29/06/2010;5.puetsconsentis.pdf;12;Cahier n°58;29/06/2010;6;Droit civil
18;MESURAGES CARREZ ET DIAGNOSTICS IMMOBILIERS : LES RISQUES ENCOURUS PAR LES PARTIES EN CAS D’ERREURS OU DE MANQUEMENT AU DEVOIR D’INFORMATION;29/06/2010;6.mesuuagecauuez.pdf;12;Cahier n°58;29/06/2010;3;Construction
19;CLIENTÈLE ÉTRANGÈRE ET RISQUES INHÉRENTS À UNE PRATIQUE COMMUNE;29/06/2010;6.clienteleetuangeue.pdf;12;Cahier n°58;29/06/2010;10;Droit international privé
23;LA COLLECTIVITÉ LOCALE EST-ELLE UN ASSUJETTI ?;29/06/2010;7.lacollectivite.pdf;12;Cahier n°58;29/06/2010;13;Droit fiscal
24;APERÇU DE QUELQUES MODIFICATIONS INTRODUITES PAR LA LOI DE FINANCES RECTIFICATIVE POUR 2009 CONCERNANT LES NON RESIDENTS;29/06/2010;8.apeucudequelques.pdf;12;Cahier n°58;29/06/2010;13;Droit fiscal
